names,position,nationality,mins played,shots,shots on target,goals,xG,chances created,assists,xA,passes,completed,tackles won,int,rec,avg distance,avg progress,shot-ending carry,goal-ending carry,end in chance,end in assist,shot-ending,goal-ending,total xG
AARON RAMSEY,3,GAL,354,7,3,1,1.86,4,0,0.51,135,0.8,3,2,25,10.1,3.5,1,0,2,0,19,1,2.42
DANIEL JAMES,4,GAL,316,4,2,0,0.16,4,0,0.63,48,0.81,2,1,15,15.2,12,2,0,2,0,13,1,1.09
GARETH BALE,4,GAL,356,9,2,0,0.79,4,1,1.42,84,0.74,0,3,5,13.4,6.7,3,0,5,2,18,2,3.38
NECO WILLIAMS,2,GAL,137,0,0,0,0,1,0,0.1,58,0.84,0,1,2,11.7,7.2,0,0,0,0,2,0,0.12
CHRIS MEPHAM,1,GAL,270,1,0,0,0.04,0,0,0.01,88,0.86,3,5,12,9.1,6.5,0,0,0,0,6,0,0.69
BEN DAVIES,2,GAL,274,3,0,0,0.11,0,0,0.05,88,0.76,3,3,9,8.2,4.1,1,0,0,0,11,1,1.96
KIEFFER MOORE,4,GAL,288,6,2,1,0.34,1,0,0.27,57,0.56,0,1,10,10.8,4.1,0,0,0,0,7,1,0.8
JOE MORRELL,3,GAL,299,1,0,0,0.03,3,0,0.15,108,0.85,2,4,16,9.5,5.7,0,0,0,0,12,2,1.47
CONNOR ROBERTS,2,GAL,310,2,1,1,0.41,1,0,0.07,96,0.82,0,2,6,8.9,7,0,0,1,0,13,2,2.16
JOE ALLEN,3,GAL,339,2,0,0,0.07,1,0,0.13,126,0.88,3,4,16,10.1,5.3,1,0,0,0,10,2,0.96
JOE RODON,1,GAL,360,1,1,0,0.03,2,0,0.12,113,0.83,0,5,9,8.8,2.9,0,0,0,0,8,0,1.08
ENDRE BOTKA,1,HON,270,0,0,0,0,0,0,0,69,0.62,4,6,13,10.6,8.4,0,0,0,0,2,0,0.08
ÁDÁM SZALAI,4,HON,198,5,4,1,0.39,0,1,0.35,31,0.65,0,2,12,9.1,3.3,0,0,0,0,5,2,0.65
LOIC NEGO,2,HON,205,1,0,0,0.03,2,0,0.01,47,0.79,4,1,7,10.3,4.7,0,0,1,0,6,1,0.45
ANDRÁS SCHÄFER,3,HON,230,2,1,1,0.34,3,0,0.04,61,0.87,1,6,12,9,2.9,0,0,1,0,6,1,0.46
ROLAND SALLAI,4,HON,242,8,3,0,0.33,1,2,0.08,34,0.74,0,0,11,12.6,7.9,5,0,1,1,10,1,0.59
LÁSZLÓ KLEINHEISLER,3,HON,251,1,1,0,0.03,2,0,0.02,55,0.76,3,4,17,9.7,3.4,0,0,1,0,7,1,0.5
ATTILA FIOLA,2,HON,266,2,1,1,0.34,0,0,0.02,61,0.7,7,1,13,10.3,2.8,0,0,0,0,5,1,0.45
ÁDÁM NAGY,3,HON,268,0,0,0,0,1,0,0.04,105,0.82,5,4,25,11.5,8.1,0,0,1,0,2,1,0.3
WILLI ORBAN,1,HON,270,0,0,0,0,0,0,0,80,0.83,2,0,9,12.6,3.5,0,0,0,0,2,0,0.1
ATTILA SZALAI,1,HON,270,0,0,0,0,0,0,0.01,124,0.76,4,1,19,10.5,6.6,0,0,0,0,0,0,0
RAFAEL TOLÓI,1,ITA,157,2,0,0,0.08,3,1,0.02,75,0.87,2,2,4,8.5,4.7,0,0,0,0,10,1,0.81
FRANCESCO ACERBI,1,ITA,231,1,0,0,0.05,2,1,0.17,171,0.93,1,6,11,10.7,8.1,0,0,1,0,16,2,1.27
GIORGIO CHIELLINI,1,ITA,444,2,1,0,0.06,1,0,0.07,302,0.9,2,9,21,9.5,6.8,0,0,0,0,14,0,0.66
LEONARDO BONUCCI,1,ITA,675,5,1,1,0.93,1,0,0.42,438,0.88,0,12,29,8.6,5.9,2,0,0,0,25,2,3.23
EMERSON,2,ITA,292,3,1,0,0.21,2,0,0.08,119,0.87,2,1,14,13.4,7.5,1,0,2,0,12,0,0.99
LEONARDO SPINAZZOLA,2,ITA,380,7,2,0,1.17,7,1,0.5,165,0.88,1,4,23,14,9.5,6,0,3,0,26,1,2.72
GIOVANNI DI LORENZO,2,ITA,585,5,0,0,0.66,4,0,0.2,278,0.83,8,8,23,11.1,7.3,1,0,1,0,20,1,1.47
BRYAN CRISTANTE,3,ITA,128,2,0,0,0.1,2,0,0.02,71,0.8,2,1,6,9.6,4.2,1,0,0,0,2,0,0.1
MATTEO PESSINA,3,ITA,190,4,3,2,0.81,3,0,0.07,55,0.78,2,2,5,13.3,7.6,0,0,1,0,8,1,1.02
MANUEL LOCATELLI,3,ITA,272,5,3,2,0.97,3,0,0.1,134,0.89,7,2,9,10.4,3.1,0,0,1,0,11,3,1.72
MARCO VERRATTI,3,ITA,401,4,2,0,0.57,12,0,0.5,408,0.93,9,6,37,8.5,4.4,1,0,3,0,37,2,3.08
NICOLÒ BARELLA,3,ITA,473,5,2,1,0.35,7,2,0.55,245,0.83,2,2,29,11.8,4.7,0,0,4,0,28,4,1.97
